symbol,exchange,name,country,data,updated_at,fund_score
MEGM,EGX,Middle East Glass Manufacturing SAE,,"{""eps"": null, ""name"": ""Middle East Glass Manufacturing SAE"", ""sector"": ""Process Industries"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/middle-east-glass-manufacturing.svg"", ""peRatio"": null, ""industry"": ""Containers/Packaging"", ""marketCap"": 941924978.0, ""dividendYield"": 40.288017}",2026-01-14 19:04:19.277242+00,
MELI,BA,,,"{""eps"": 381.4614, ""name"": ""MercadoLibre Inc Shs Cert Deposito Arg Repr 0.00833333 Sh"", ""sector"": ""Retail Trade"", ""peRatio"": 69.20752663310101, ""industry"": ""Internet Retail"", ""marketCap"": 160049729794419.97, ""dividendYield"": null}",2026-01-13 21:11:07.089123+00,
MELID,BA,,,"{""eps"": 381.46140010680926, ""name"": ""MercadoLibre Inc Shs Cert Deposito Arg Repr 0.00833333 Sh"", ""sector"": ""Retail Trade"", ""peRatio"": 64.95809412134983, ""industry"": ""Internet Retail"", ""marketCap"": 160049729772173.06, ""dividendYield"": null}",2026-01-13 21:11:08.103988+00,
MENA,EGX,Mena Touristic & Real Estate Investment,,"{""eps"": -0.1244, ""name"": ""Mena Touristic & Real Estate Investment"", ""sector"": ""Finance"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/mena-touristic-and-real-estate-investment.svg"", ""peRatio"": null, ""industry"": ""Real Estate Development"", ""marketCap"": 1134612534.0, ""dividendYield"": null}",2026-01-14 19:04:06.846479+00,
MEPA,EGX,Medical Packaging Company,,"{""eps"": null, ""name"": ""Medical Packaging Company"", ""sector"": ""Process Industries"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/medical-packaging-company.svg"", ""peRatio"": null, ""industry"": ""Containers/Packaging"", ""marketCap"": 1100400044.0, ""dividendYield"": null}",2026-01-14 19:03:49.814074+00,
META,BA,,,"{""eps"": 1041.4479, ""name"": ""Meta Platforms Inc Shs A Cert Deposito Arg Repr 0.041666666 Shs"", ""sector"": ""Technology Services"", ""peRatio"": 39.43653550133966, ""industry"": ""Internet Software/Services"", ""marketCap"": 2376068954079295.0, ""dividendYield"": 0.20189877}",2026-01-13 21:11:07.351116+00,
METR,BA,,,"{""eps"": 226.1529, ""name"": ""MetroGas SA Class B"", ""sector"": ""Utilities"", ""peRatio"": 9.895959768811279, ""industry"": ""Gas Distributors"", ""marketCap"": 1316989285583.0, ""dividendYield"": null}",2026-01-13 21:11:07.629039+00,
MFPC,EGX,Misr Fertilizers Production Company MOPCO,,"{""eps"": null, ""name"": ""Misr Fertilizers Production Company MOPCO"", ""sector"": ""Process Industries"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/misr-fretilizers-production-company-mopco.svg"", ""peRatio"": null, ""industry"": ""Chemicals: Agricultural"", ""marketCap"": 84638816091.0, ""dividendYield"": 8.211003}",2026-01-14 19:03:49.139199+00,
MFSC,EGX,Misr Duty Free Shops Co.,,"{""eps"": null, ""name"": ""Misr Duty Free Shops Co."", ""sector"": ""Retail Trade"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/misr-duty-free-shops.svg"", ""peRatio"": null, ""industry"": ""Specialty Stores"", ""marketCap"": 3152812600.0, ""dividendYield"": 9.915284}",2026-01-14 19:04:13.789065+00,
MHOT,EGX,Misr Hotels Co.,,"{""eps"": null, ""name"": ""Misr Hotels Co."", ""sector"": ""Consumer Services"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/misr-hotels.svg"", ""peRatio"": null, ""industry"": ""Hotels/Resorts/Cruise lines"", ""marketCap"": 9880200302.0, ""dividendYield"": 5.9453034}",2026-01-14 19:04:06.224613+00,
MICH,EGX,Misr Chemical Industries Ltd.,,"{""eps"": null, ""name"": ""Misr Chemical Industries Ltd."", ""sector"": ""Process Industries"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/misr-chemical-industries.svg"", ""peRatio"": null, ""industry"": ""Chemicals: Specialty"", ""marketCap"": 3044925025.0, ""dividendYield"": 13.956735}",2026-01-14 19:04:02.401984+00,
MILS,EGX,North Cairo Mills Co.,,"{""eps"": null, ""name"": ""North Cairo Mills Co."", ""sector"": ""Process Industries"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/north-cairo-mills.svg"", ""peRatio"": null, ""industry"": ""Agricultural Commodities/Milling"", ""marketCap"": 1346487937.0, ""dividendYield"": 2.3087578}",2026-01-14 19:04:00.064051+00,
MIPH,EGX,Minapharm Pharmaceuticals,,"{""eps"": null, ""name"": ""Minapharm Pharmaceuticals"", ""sector"": ""Health Technology"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/minapharm-pharmaceuticals.svg"", ""peRatio"": null, ""industry"": ""Pharmaceuticals: Major"", ""marketCap"": 4059005188.0, ""dividendYield"": 0.6962043}",2026-01-14 19:04:14.846153+00,
MIRG,BA,,,"{""eps"": 416.3222, ""name"": ""Mirgor SA Registered Shs -C- 1 Vote"", ""sector"": ""Producer Manufacturing"", ""peRatio"": 56.26651665464873, ""industry"": ""Industrial Machinery"", ""marketCap"": 346377915878.0, ""dividendYield"": 1.6443505}",2026-01-13 21:11:10.609571+00,
MO,BA,,,"{""eps"": 1335.9513, ""name"": ""Altria Group, Inc. Shs Cert.Deposito Arg.Repr 0.25 Shs"", ""sector"": ""Consumer Non-Durables"", ""peRatio"": 17.15269977502249, ""industry"": ""Tobacco"", ""marketCap"": 144301661763582.94, ""dividendYield"": 4.525336}",2026-01-13 21:11:10.833298+00,
MOED,EGX,Egyptian Modern Education Systems,,"{""eps"": null, ""name"": ""Egyptian Modern Education Systems"", ""sector"": ""Commercial Services"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/the-egyptian-modern-education-systems.svg"", ""peRatio"": null, ""industry"": ""Miscellaneous Commercial Services"", ""marketCap"": 841210811.0, ""dividendYield"": null}",2026-01-14 19:04:00.503606+00,
MOIL,EGX,Maridive & Oil Services SAE,,"{""eps"": 4.121951236, ""name"": ""Maridive & Oil Services SAE"", ""sector"": ""Industrial Services"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/maridive-and-oil-services.svg"", ""peRatio"": 5.325443786982248, ""industry"": ""Oilfield Services/Equipment"", ""marketCap"": 10339756551.735529, ""dividendYield"": null}",2026-01-14 19:04:14.197326+00,
MOIN,EGX,Mohandes Insurance Co.,,"{""eps"": null, ""name"": ""Mohandes Insurance Co."", ""sector"": ""Finance"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/mohandes-insurance.svg"", ""peRatio"": null, ""industry"": ""Multi-Line Insurance"", ""marketCap"": 7152763577.0, ""dividendYield"": 0.93404156}",2026-01-14 19:04:09.731733+00,
MOLA,BA,,,"{""eps"": 1085.9373, ""name"": ""Molinos Agro SA Class B"", ""sector"": ""Process Industries"", ""peRatio"": 24.034536800605338, ""industry"": ""Agricultural Commodities/Milling"", ""marketCap"": 1295357660866.0, ""dividendYield"": 6.2091484}",2026-01-13 21:11:11.308719+00,
MOLI,BA,,,"{""eps"": -256.2419, ""name"": ""Molinos Rio de la Plata SA Class B"", ""sector"": ""Consumer Non-Durables"", ""peRatio"": null, ""industry"": ""Food: Major Diversified"", ""marketCap"": 650963083959.0, ""dividendYield"": 15.371116}",2026-01-13 21:11:11.052156+00,
MORI,BA,,,"{""eps"": 1.4007, ""name"": ""Morixe Hermanos SA"", ""sector"": ""Process Industries"", ""peRatio"": 26.343970871707, ""industry"": ""Agricultural Commodities/Milling"", ""marketCap"": 87379626279.0, ""dividendYield"": null}",2026-01-13 21:11:18.927859+00,
MOSC,EGX,Misr Oils & Soap Co.,,"{""eps"": null, ""name"": ""Misr Oils & Soap Co."", ""sector"": ""Process Industries"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/misr-oils-and-soap.svg"", ""peRatio"": null, ""industry"": ""Agricultural Commodities/Milling"", ""marketCap"": 1078199982.0, ""dividendYield"": null}",2026-01-14 19:04:09.297413+00,
MPCI,EGX,Memphis Pharmaceutical & Chemical Industries,,"{""eps"": 22.7423, ""name"": ""Memphis Pharmaceutical & Chemical Industries"", ""sector"": ""Health Technology"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/memphis-pharmaceuticals.svg"", ""peRatio"": 6.201219753498987, ""industry"": ""Pharmaceuticals: Major"", ""marketCap"": 3260075069.0, ""dividendYield"": 9.032192}",2026-01-14 19:03:49.604407+00,
MPCO,EGX,Mansourah Poultry Co.,,"{""eps"": 0.1013, ""name"": ""Mansourah Poultry Co."", ""sector"": ""Process Industries"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/mansourah-poultry.svg"", ""peRatio"": 15.399802566633761, ""industry"": ""Agricultural Commodities/Milling"", ""marketCap"": 1620000005.0, ""dividendYield"": null}",2026-01-14 19:03:47.472037+00,
MPRC,EGX,Egyptian Media Production City,,"{""eps"": null, ""name"": ""Egyptian Media Production City"", ""sector"": ""Consumer Services"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/egyptian-media-production-city.svg"", ""peRatio"": null, ""industry"": ""Movies/Entertainment"", ""marketCap"": 4788157623.0, ""dividendYield"": 1.8989745}",2026-01-14 19:03:48.915806+00,
MRK,BA,,,"{""eps"": 1743.6231, ""name"": ""Merck & Co., Inc. Shs Cert Deposito Arg Repr 1/5 Sh"", ""sector"": ""Health Technology"", ""peRatio"": 19.057915949073294, ""industry"": ""Pharmaceuticals: Major"", ""marketCap"": 397961877487518.4, ""dividendYield"": 1.9371047}",2026-01-13 21:11:19.133134+00,
MSFT,BA,,,"{""eps"": 536.2074, ""name"": ""Microsoft Corp Shs Cert Deposito Arg Repr 0.03333333 Shs"", ""sector"": ""Technology Services"", ""peRatio"": 44.62468263667269, ""industry"": ""Packaged Software"", ""marketCap"": 5207902809183554.0, ""dividendYield"": 0.47206283}",2026-01-13 21:11:18.333587+00,
MTIE,EGX,MM Group for Industry & International Trade,,"{""eps"": 0.5148, ""name"": ""MM Group for Industry & International Trade"", ""sector"": ""Distribution Services"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/mm-for-industry-and-international-trade.svg"", ""peRatio"": 13.947163947163945, ""industry"": ""Electronics Distributors"", ""marketCap"": 13916587613.0, ""dividendYield"": null}",2026-01-14 19:03:51.69361+00,
NAHO,EGX,Naeem Holding Co.,,"{""eps"": null, ""name"": ""Naeem Holding Co."", ""sector"": ""Finance"", ""logoUrl"": ""https://s3-symbol-logo.tradingview.com/naeem.svg"", ""peRatio"": null, ""industry"": ""Investment Banks/Brokers"", ""marketCap"": 1850485204.8073668, ""dividendYield"": null}",2026-01-14 19:04:15.315024+00,
