symbol,exchange,name,country,data,updated_at,fund_score
000100,KQ,,,"{""eps"": 910.0484, ""name"": ""Yuhan Corporation"", ""sector"": ""Health Technology"", ""country"": ""South Korea"", ""peRatio"": 122.41107176277657, ""industry"": ""Pharmaceuticals: Major"", ""marketCap"": 8396014735602.999, ""dividendYield"": 0.44130626}",2026-01-13 11:10:34.052584+00,
000105,KQ,,,"{""eps"": 910.0484, ""name"": ""Yuhan Corporation Pfd Non-Voting"", ""sector"": ""Health Technology"", ""country"": ""South Korea"", ""peRatio"": 110.65345535468224, ""industry"": ""Pharmaceuticals: Major"", ""marketCap"": 8396014735602.999, ""dividendYield"": 0.5019685}",2026-01-13 11:10:34.284615+00,
000150,KQ,,,"{""eps"": 3690.8843, ""name"": ""Doosan Corporation"", ""sector"": ""Producer Manufacturing"", ""country"": ""South Korea"", ""peRatio"": 218.06511845604797, ""industry"": ""Trucks/Construction/Farm Machinery"", ""marketCap"": 12323457512856.0, ""dividendYield"": 0.26773763}",2026-01-13 11:12:19.85178+00,
000180,KQ,,,"{""eps"": -152.6159, ""name"": ""Sungchang Enterprise Holdings Ltd."", ""sector"": ""Non-Energy Minerals"", ""country"": ""South Korea"", ""peRatio"": null, ""industry"": ""Forest Products"", ""marketCap"": 98559013870.0, ""dividendYield"": null}",2026-01-13 10:52:44.204341+00,
000215,KQ,,,"{""eps"": -1195.9806, ""name"": ""DL Holdings Co., Ltd. Pfd Registered Shs Non-Voting"", ""sector"": ""Process Industries"", ""country"": ""South Korea"", ""peRatio"": null, ""industry"": ""Chemicals: Specialty"", ""marketCap"": 770876112390.0, ""dividendYield"": 4.816514}",2026-01-13 11:12:20.73282+00,
000220,KQ,,,"{""eps"": 304.3926, ""name"": ""Yuyu Pharma, Inc."", ""sector"": ""Health Technology"", ""country"": ""South Korea"", ""peRatio"": 75.7173835780842, ""industry"": ""Pharmaceuticals: Major"", ""marketCap"": 70312419047.0, ""dividendYield"": 2.1929824}",2026-01-13 11:12:20.472747+00,
000225,KQ,,,"{""eps"": 304.3926, ""name"": ""Yuyu Pharma, Inc. Pfd Registered II Issue 99"", ""sector"": ""Health Technology"", ""country"": ""South Korea"", ""peRatio"": 83.18610508748706, ""industry"": ""Pharmaceuticals: Major"", ""marketCap"": 70312419047.0, ""dividendYield"": 2.1929824}",2026-01-13 11:10:34.505073+00,
000227,KQ,,,"{""eps"": 304.3926, ""name"": ""Yuyu Pharma, Inc. Pfd Registered Non-Voting/Issue 00"", ""sector"": ""Health Technology"", ""country"": ""South Korea"", ""peRatio"": 188.17744308748362, ""industry"": ""Pharmaceuticals: Major"", ""marketCap"": 70312419047.0, ""dividendYield"": 2.1929824}",2026-01-13 11:12:20.965429+00,
000230,KQ,,,"{""eps"": 5926.2143, ""name"": ""Ildong Holdings Co., Ltd"", ""sector"": ""Health Technology"", ""country"": ""South Korea"", ""peRatio"": 2.365369904553533, ""industry"": ""Pharmaceuticals: Major"", ""marketCap"": 151426919689.0, ""dividendYield"": 0.0}",2026-01-13 11:12:24.725059+00,
000250,KQ,,,"{""eps"": -490.3235, ""name"": ""Sam Chun Dang Pharm. Co., Ltd."", ""sector"": ""Health Technology"", ""country"": ""South Korea"", ""peRatio"": null, ""industry"": ""Pharmaceuticals: Major"", ""marketCap"": 6058571714401.0, ""dividendYield"": 0.08113591}",2026-01-13 11:12:24.267232+00,
000320,KQ,,,"{""eps"": 3183.5963, ""name"": ""Noroo Holdings Co., Ltd"", ""sector"": ""Process Industries"", ""country"": ""South Korea"", ""peRatio"": 6.187970503672215, ""industry"": ""Industrial Specialties"", ""marketCap"": 213254331696.0, ""dividendYield"": 2.682927}",2026-01-13 11:12:24.958141+00,
000325,KQ,,,"{""eps"": 3183.5963, ""name"": ""Noroo Holdings Co Ltd Pfd Registered Shs Non-Voting"", ""sector"": ""Process Industries"", ""country"": ""South Korea"", ""peRatio"": 9.109195157690062, ""industry"": ""Industrial Specialties"", ""marketCap"": 216848070720.0, ""dividendYield"": 1.9104991}",2026-01-12 21:07:46.980661+00,
000390,KQ,,,"{""eps"": 328.805, ""name"": ""Samhwa Paint Industrial Co., Ltd."", ""sector"": ""Process Industries"", ""country"": ""South Korea"", ""peRatio"": 20.255166436033516, ""industry"": ""Industrial Specialties"", ""marketCap"": 166507488937.0, ""dividendYield"": 5.1928782}",2026-01-13 11:12:24.496539+00,
000400,KQ,,,"{""eps"": 115.401, ""name"": ""Lotte Non-Life Insurance Co., Ltd"", ""sector"": ""Finance"", ""country"": ""South Korea"", ""peRatio"": 14.42795123092521, ""industry"": ""Property/Casualty Insurance"", ""marketCap"": 515595557373.0, ""dividendYield"": null}",2026-01-13 11:12:25.184915+00,
000430,KQ,,,"{""eps"": 169.0472, ""name"": ""DAEWON KANG UP Co., Ltd."", ""sector"": ""Producer Manufacturing"", ""country"": ""South Korea"", ""peRatio"": 25.821190768022184, ""industry"": ""Auto Parts: OEM"", ""marketCap"": 263810000000.0, ""dividendYield"": 2.628435}",2026-01-13 11:12:27.37825+00,
000440,KQ,,,"{""eps"": -285.4866, ""name"": ""Joong Ang Enervis Co., Ltd."", ""sector"": ""Distribution Services"", ""country"": ""South Korea"", ""peRatio"": null, ""industry"": ""Wholesale Distributors"", ""marketCap"": 72005480881.0, ""dividendYield"": 2.036919}",2026-01-13 11:12:27.172958+00,
000480,KQ,,,"{""eps"": -492.7216, ""name"": ""CR Holdings Co., LTD."", ""sector"": ""Producer Manufacturing"", ""country"": ""South Korea"", ""peRatio"": null, ""industry"": ""Miscellaneous Manufacturing"", ""marketCap"": 194754394226.0, ""dividendYield"": 8.732695}",2026-01-13 11:12:27.624688+00,
000500,KQ,,,"{""eps"": 3029.6746, ""name"": ""Gaon Cable Co., Ltd."", ""sector"": ""Producer Manufacturing"", ""country"": ""South Korea"", ""peRatio"": 30.762379563798703, ""industry"": ""Electrical Products"", ""marketCap"": 1498806274796.0, ""dividendYield"": null}",2026-01-13 11:12:26.737117+00,
000520,KQ,,,"{""eps"": -1274.8226, ""name"": ""Samil Pharmaceutical Co., Ltd."", ""sector"": ""Health Technology"", ""country"": ""South Korea"", ""peRatio"": null, ""industry"": ""Pharmaceuticals: Major"", ""marketCap"": 204296289139.0, ""dividendYield"": null}",2026-01-13 11:12:26.948843+00,
