symbol,exchange,latest_price_date,latest_updated_at,price_rows_count
MEGM,EGX,2020-08-10,2026-01-16 06:28:12.688394+00:00,19
ESRS,EGX,2025-01-19,2026-01-12 17:41:38.053590+00:00,4
AR/USDT,BINANCE,2025-07-17,2026-02-20 20:14:38.102849+00:00,247
GSPC,INDX,2025-10-14,2026-01-28 12:20:21.864147+00:00,7903
GOCO,EGX,2026-01-19,2026-02-03 14:09:26.697143+00:00,3424
ICLE,EGX,2026-01-19,2026-01-20 19:31:13.644943+00:00,88
NULL,EGX,2026-02-02,2026-02-03 14:16:40.065041+00:00,162
AIND,EGX,2026-02-02,2026-02-03 14:15:02.127174+00:00,194
EIUD,EGX,2026-02-08,2026-05-29 21:30:19.924701+00:00,1508
ACRO,EGX,2026-02-11,2026-06-19 14:52:21.504904+00:00,6007
ANFI,EGX,2026-02-15,2026-02-16 01:05:56.300063+00:00,1972
AEVO/USDT,BINANCE,2026-02-20,2026-02-20 19:46:01.738882+00:00,1021
SAIB,EGX,2026-04-27,2026-05-29 20:54:58.202247+00:00,345
SPHT,EGX,2026-04-29,2026-05-29 20:41:25.998369+00:00,54
NDRL,EGX,2026-05-06,2026-05-29 20:50:51.873950+00:00,100
AIH,EGX,2026-05-25,2026-05-29 20:54:07.228064+00:00,1537
IRAX,EGX,2026-06-01,2026-06-04 20:04:59.806748+00:00,1973
DEIN,EGX,2026-06-01,2026-06-04 20:02:01.668494+00:00,1204
SUCE,EGX,2026-06-03,2026-06-04 20:09:55.880278+00:00,163
EGX30,INDX,2026-06-04,2026-06-05 16:29:47.645005+00:00,6929
FERC,EGX,2026-06-07,2026-06-17 14:07:40.227165+00:00,201
EGX30,EGX,2026-06-11,2026-06-13 19:57:51.934826+00:00,261
GPPL,EGX,2026-06-14,2026-06-14 08:04:25.296256+00:00,947
